chrom	R1_R2a	R2a_C	C_R2b	R2b_R3
chr1A	59000000	151000000	231000000	480000000
chr1B	62000000	172000000	277000000	534000000
chr1D	29000000	98000000	171000000	385000000
chr2A	42000000	206000000	379000000	662000000
chr2B	59000000	248000000	433000000	660000000
chr2D	37000000	192000000	338000000	520000000
chr3A	62000000	249000000	414000000	670000000
chr3B	66000000	257000000	407000000	728000000
chr3D	49000000	167000000	287000000	543000000
chr4A	41000000	180000000	414000000	594000000
chr4B	42000000	186000000	360000000	537000000
chr4D	10000000	135000000	288000000	432000000
chr5A	39000000	140000000	260000000	427000000
chr5B	52000000	140000000	221000000	430000000
chr5D	46000000	128000000	207000000	345000000
chr6A	46000000	216000000	409000000	556000000
chr6B	56000000	221000000	429000000	651000000
chr6D	44000000	164000000	280000000	410000000
chr7A	89000000	239000000	416000000	659000000
chr7B	12000000	146000000	418000000	660000000
chr7D	84000000	200000000	373000000	552000000
